iter	Passed	Remaining
705	30055	7790
706	30094	7747
707	30132	7703
708	30173	7660
709	30212	7616
710	30250	7573
711	30289	7529
712	30327	7486
713	30365	7442
714	30405	7399
715	30450	7357
716	30498	7316
717	30552	7276
718	30595	7234
719	30638	7191
720	30681	7149
721	30721	7106
722	30764	7063
723	30805	7020
724	30847	6977
725	30894	6936
726	30935	6893
727	30973	6849
728	31013	6806
729	31055	6764
730	31104	6723
731	31150	6681
732	31191	6638
733	31233	6595
734	31273	6552
735	31311	6509
736	31350	6465
737	31395	6423
738	31439	6381
739	31480	6338
740	31519	6295
741	31558	6252
742	31599	6209
743	31637	6165
744	31677	6122
745	31732	6082
746	31774	6040
747	31817	5997
748	31861	5955
749	31900	5912
750	31939	5868
751	31977	5825
752	32018	5782
753	32061	5740
754	32105	5698
755	32147	5655
756	32189	5612
757	32228	5569
758	32266	5526
759	32304	5483
760	32343	5440
761	32382	5397
762	32424	5354
763	32466	5312
764	32509	5269
765	32551	5226
766	32591	5184
767	32628	5140
768	32667	5097
769	32708	5054
770	32751	5012
771	32794	4970
772	32842	4928
773	32896	4887
774	32938	4845
775	32980	4802
776	33021	4759
777	33061	4716
778	33099	4673
779	33141	4631
780	33182	4588
781	33219	4545
782	33258	4502
783	33296	4459
784	33333	4416
785	33397	4376
786	33443	4334
787	33500	4293
788	33543	4251
789	33583	4208
790	33622	4165
791	33660	4122
792	33700	4079
793	33737	4036
794	33775	3993
795	33814	3950
796	33852	3907
797	33890	3864
798	33930	3821
799	33971	3779
800	34012	3736
801	34054	3694
802	34097	3651
803	34139	3609
804	34185	3567
805	34224	3524
806	34263	3481
807	34301	3438
808	34340	3395
809	34379	3353
810	34421	3310
811	34461	3267
812	34498	3224
813	34536	3182
814	34586	3140
815	34632	3098
816	34676	3055
817	34718	3013
818	34756	2970
819	34795	2927
820	34833	2885
821	34873	2842
822	34911	2799
823	34951	2757
824	34991	2714
825	35030	2671
826	35069	2629
827	35107	2586
828	35149	2544
829	35189	2501
830	35233	2459
831	35274	2416
832	35317	2374
833	35360	2331
834	35403	2289
835	35442	2246
836	35480	2204
837	35518	2161
838	35556	2118
839	35593	2076
840	35633	2033
841	35672	1991
842	35712	1948
843	35750	1906
844	35787	1863
845	35824	1820
846	35865	1778
847	35906	1736
848	35948	1693
849	35989	1651
850	36030	1608
851	36071	1566
852	36112	1524
853	36155	1481
854	36193	1439
855	36232	1396
856	36276	1354
857	36315	1312
858	36354	1269
859	36395	1227
860	36433	1184
861	36478	1142
862	36517	1100
863	36555	1057
864	36594	1015
865	36631	972
866	36675	930
867	36732	888
868	36773	846
869	36814	803
870	36853	761
871	36893	719
872	36931	676
873	36976	634
874	37016	592
875	37056	549
876	37093	507
877	37133	465
878	37173	422
879	37212	380
880	37253	338
881	37293	295
882	37332	253
883	37386	211
884	37423	169
885	37461	126
886	37501	84
887	37543	42
888	37584	0
